# opt_x	opt_y	sar_x	sar_y
932.5	914.5	932.5	916.5
792.5	69.5	792.5	66.5
361.5	92.5	360.5	90.5
79.5	548.5	81.5	547.5
491.5	994.5	492.5	996.5
404.5	21.5	405.5	20.5
239.5	73.5	237.5	73.5
477.5	161.5	475.5	161.5
328.5	81.5	328.5	84.5
388.5	928.5	389.5	929.5
387.5	244.5	389.5	245.5
405.5	747.5	407.5	746.5
23.5	641.5	22.5	641.5
450.5	644.5	453.5	644.5
948.5	915.5	948.5	914.5
786.5	930.5	786.5	930.5
647.5	25.5	646.5	25.5
524.5	777.5	522.5	777.5
555.5	743.5	555.5	742.5
238.5	962.5	241.5	962.5
310.5	877.5	311.5	878.5
500.5	703.5	500.5	703.5
953.5	59.5	954.5	60.5
582.5	879.5	582.5	882.5
390.5	 7.5	389.5	 6.5
350.5	112.5	350.5	114.5
375.5	751.5	377.5	749.5
740.5	667.5	741.5	669.5
292.5	607.5	294.5	609.5
190.5	143.5	191.5	143.5
716.5	874.5	716.5	871.5
334.5	108.5	331.5	108.5
711.5	887.5	711.5	888.5
242.5	318.5	244.5	317.5
400.5	181.5	402.5	181.5
232.5	701.5	230.5	703.5
475.5	940.5	477.5	941.5
272.5	612.5	274.5	614.5
218.5	933.5	219.5	934.5
101.5	90.5	103.5	88.5
995.5	900.5	993.5	901.5
627.5	851.5	627.5	854.5
453.5	724.5	453.5	726.5
740.5	599.5	740.5	600.5
413.5	719.5	414.5	718.5
881.5	371.5	882.5	369.5
243.5	132.5	240.5	132.5
937.5	107.5	938.5	107.5
298.5	675.5	300.5	673.5
154.5	429.5	156.5	428.5
511.5	833.5	510.5	831.5
372.5	758.5	374.5	760.5
430.5	858.5	429.5	858.5
918.5	944.5	919.5	945.5
805.5	186.5	806.5	184.5
316.5	808.5	318.5	810.5
686.5	876.5	687.5	877.5
535.5	813.5	533.5	815.5
530.5	897.5	530.5	897.5
656.5	976.5	657.5	975.5
225.5	134.5	224.5	136.5
