# opt_x	opt_y	sar_x	sar_y
669.6	557.8	668.1	559.9
669.6	870.2	666.3	872.9
667.4	670.8	664.4	667.4
725.0	638.3	728.8	639.1
663.8	372.2	661.2	373.8
736.3	759.0	736.3	761.6
724.5	438.6	724.3	443.1
737.2	722.1	739.5	725.9
653.5	761.2	657.6	760.6
653.4	775.3	650.5	778.7
737.4	953.5	738.8	950.6
737.5	775.2	733.9	772.8
16.4	332.8	18.8	334.6
650.3	629.9	647.6	628.0
646.7	673.1	650.1	674.6
646.6	888.7	646.4	886.0
646.2	383.4	648.2	384.3
738.7	638.3	735.9	638.0
1005.8	991.7	1008.7	994.5
643.8	505.5	641.2	509.5
643.0	839.8	646.5	842.6
1004.6	1000.1	1003.8	1004.3
1004.1	317.6	1005.7	320.1
740.5	766.9	740.1	766.7
35.1	334.8	35.3	332.4
637.0	543.9	639.9	541.6
636.7	243.9	635.3	244.6
636.6	663.0	635.8	660.4
630.3	1002.8	628.0	1006.8
45.4	122.5	45.8	123.1
46.2	793.6	49.3	796.8
629.0	391.5	625.2	389.2
726.6	301.9	723.3	299.0
628.1	596.9	625.7	595.0
721.5	957.6	722.8	960.2
993.6	842.2	990.8	842.5
624.4	417.2	624.0	414.3
622.9	856.2	620.4	859.0
721.2	809.7	722.8	810.9
726.7	710.7	725.1	706.5
59.6	892.8	59.9	893.7
614.9	619.0	617.0	616.5
614.5	631.0	616.4	632.9
614.1	648.8	617.5	645.3
65.7	441.8	62.1	441.2
985.7	507.7	981.6	506.6
610.3	613.7	609.1	615.9
66.5	353.9	62.6	353.6
609.1	452.1	605.7	452.6
608.3	399.0	605.9	402.9
984.4	828.0	987.0	830.3
69.7	734.3	67.8	738.4
70.6	130.3	66.6	133.1
720.6	496.0	716.1	494.5
720.3	600.3	722.8	601.5
719.9	880.2	719.8	882.9
74.8	348.6	79.3	350.4
676.7	770.5	678.6	767.3
981.4	213.2	985.1	214.6
77.8	 7.7	81.3	 7.0
595.5	987.6	599.0	988.9
79.7	555.4	80.6	551.5
677.0	367.7	676.8	369.2
581.9	631.6	584.9	633.9
756.7	916.9	758.9	917.3
87.4	781.6	90.2	785.7
977.1	578.6	981.0	581.5
90.4	756.2	91.4	753.3
759.1	786.1	761.8	789.8
718.2	863.7	720.9	863.5
91.6	272.3	95.5	274.7
567.1	610.0	565.7	607.8
760.5	646.1	765.2	647.2
718.0	825.6	722.5	824.5
559.7	856.8	560.9	859.0
93.9	746.8	97.6	748.2
973.4	1019.4	969.9	1018.2
972.7	345.1	972.3	342.1
553.6	410.0	551.3	413.3
763.7	677.2	761.2	674.4
95.4	764.7	98.0	764.2
550.6	874.7	553.6	876.3
766.3	824.0	768.9	825.2
541.4	99.9	543.5	103.1
