# opt_x	opt_y	sar_x	sar_y
585.0	66.7	583.9	69.6
1019.2	382.5	1019.5	384.1
437.6	872.0	435.9	875.5
599.4	663.5	602.3	663.2
599.9	745.1	604.0	745.9
1015.2	88.5	1016.7	90.9
433.3	788.1	436.4	788.7
1014.7	589.9	1013.5	593.4
580.2	50.1	579.5	48.4
431.3	484.8	434.1	482.6
604.5	639.9	608.4	640.0
604.6	50.1	605.1	49.3
611.5	675.3	612.5	674.9
421.9	462.8	424.4	464.3
417.3	453.4	420.0	454.2
416.4	710.2	417.2	708.8
625.9	626.1	627.1	627.9
413.3	445.1	417.9	444.5
631.8	392.3	633.6	391.3
446.0	509.6	449.0	511.2
641.6	617.4	643.9	618.8
646.5	810.9	648.3	812.2
397.6	682.0	400.0	683.3
657.7	299.6	659.9	303.2
660.4	693.0	660.3	692.9
389.7	718.0	393.5	719.2
664.9	730.0	662.4	732.5
386.4	503.8	384.2	501.3
669.3	573.9	670.6	574.0
377.1	820.7	376.1	819.5
450.8	93.4	451.0	97.7
375.6	719.2	379.9	719.7
374.3	755.0	377.9	751.8
564.4	268.7	562.8	270.1
681.0	610.9	682.2	611.9
368.5	780.4	368.9	777.8
30.7	842.8	31.5	845.8
996.5	358.0	998.9	357.6
363.3	694.3	366.0	695.0
561.6	695.1	565.5	694.8
362.6	913.7	365.6	914.5
360.9	665.6	360.5	665.8
34.4	872.0	32.0	870.6
355.5	671.9	354.1	674.6
700.0	615.7	698.7	620.2
352.6	697.6	357.2	698.9
560.0	255.4	562.3	256.0
707.6	558.1	710.6	559.8
988.6	499.9	984.9	500.4
709.5	812.5	708.9	813.1
711.7	125.4	709.6	121.8
40.7	954.1	37.4	953.1
716.3	550.6	715.6	553.4
717.5	563.2	721.3	566.1
552.8	678.8	549.7	680.1
331.6	831.3	334.7	834.2
728.9	543.2	727.2	538.7
735.5	497.5	738.9	497.4
737.8	618.4	738.3	616.5
980.6	352.5	982.9	355.0
742.1	542.9	746.3	543.7
49.2	922.6	53.3	924.2
549.4	611.1	551.3	606.8
303.0	550.9	306.1	547.3
302.2	598.4	299.0	599.4
748.0	630.1	743.7	628.2
750.6	483.9	754.3	487.0
296.6	568.4	294.7	569.0
295.5	767.1	297.3	763.1
754.3	502.5	756.4	502.0
294.9	547.7	293.1	545.0
293.2	779.0	289.7	779.5
755.8	607.3	760.5	607.6
756.6	642.8	757.0	641.5
965.6	354.3	966.5	354.2
758.0	446.8	759.9	447.5
964.3	397.1	965.9	394.5
288.0	847.9	286.1	848.9
464.3	528.9	467.0	529.4
464.6	783.1	463.2	780.0
761.6	97.3	759.2	98.6
63.4	874.2	64.3	876.1
956.7	646.6	956.9	650.9
274.5	562.4	274.1	566.8
770.8	626.4	774.2	626.2
274.0	833.8	274.7	834.1
272.6	816.6	275.9	819.3
773.2	438.6	776.6	439.1
775.5	529.7	777.8	529.0
70.6	870.0	72.5	874.1
777.0	564.5	772.7	564.1
953.2	403.5	956.8	405.7
777.2	549.1	776.5	551.3
778.2	38.1	778.5	35.7
787.6	519.6	790.3	515.8
256.9	870.0	256.9	872.4
256.8	898.7	261.5	899.5
787.8	553.4	787.1	555.3
948.1	575.1	950.4	578.6
789.5	478.9	792.3	479.0
790.0	147.3	792.6	148.8
81.5	937.5	84.1	938.5
247.8	434.9	251.7	435.3
802.1	121.2	800.3	120.6
242.2	428.8	244.2	431.1
239.4	895.1	241.8	895.3
805.6	495.7	810.2	495.8
943.9	414.1	943.0	413.3
235.9	913.6	234.4	913.7
233.8	918.9	235.0	920.6
809.3	641.8	811.8	642.4
470.7	462.2	473.8	459.9
226.6	841.6	227.4	837.3
816.7	605.5	818.5	603.5
824.9	354.4	826.3	349.9
827.3	637.5	830.2	639.7
935.0	600.8	934.6	603.1
97.4	828.0	99.0	829.8
839.5	348.7	841.7	349.0
475.0	523.2	473.5	519.3
929.8	302.8	931.0	302.9
843.2	125.7	845.1	122.8
847.6	481.6	844.5	484.8
928.2	66.5	929.9	62.1
185.9	884.3	185.7	881.7
851.0	331.2	848.3	327.5
856.0	440.0	851.7	439.1
532.3	394.6	527.6	394.3
168.9	870.3	170.9	867.2
477.9	864.2	473.5	865.1
920.4	583.4	923.1	579.5
531.3	594.1	535.6	593.1
916.7	89.6	916.8	93.5
527.7	466.1	529.6	468.4
872.4	602.4	870.5	605.3
480.2	530.9	481.9	533.2
915.2	550.2	914.8	545.6
480.9	870.4	485.0	872.2
147.3	898.7	151.7	901.0
112.0	934.3	113.0	931.2
913.5	442.6	914.4	439.6
892.5	603.2	892.1	607.9
896.0	433.9	898.2	436.5
129.0	915.5	125.1	918.5
909.9	272.8	909.0	270.3
903.8	60.4	899.4	61.8
909.6	473.7	912.0	476.8
908.8	47.3	908.2	45.7
907.8	452.0	911.8	452.7
747.0	605.5	745.1	602.8
909.1	674.8	906.4	676.6
21.5	945.1	21.4	941.9
901.9	453.1	903.6	457.2
304.8	761.1	306.8	763.7
119.1	869.0	117.7	869.0
119.1	955.0	121.3	955.2
587.2	62.0	583.2	60.5
116.4	893.7	118.5	889.2
636.2	514.8	635.3	515.9
565.2	743.9	564.6	740.6
565.2	401.4	560.4	400.2
60.9	920.3	64.4	921.0
311.7	743.4	310.8	743.6
64.8	951.5	64.5	955.1
439.1	498.4	438.9	502.4
594.7	48.7	593.2	48.8
763.0	613.9	765.4	615.1
65.8	926.4	66.1	929.8
66.0	944.7	64.2	942.3
280.1	848.8	277.9	849.9
67.6	1009.2	70.2	1011.8
155.9	797.9	152.4	801.0
598.9	641.2	597.4	643.7
315.4	642.9	315.5	641.0
921.4	432.0	926.2	432.1
272.2	865.6	270.0	869.6
70.0	920.2	73.5	917.4
270.7	850.1	270.7	850.9
736.3	136.7	734.0	132.3
318.7	624.3	320.0	623.3
172.1	875.2	173.7	877.6
177.3	859.6	178.5	861.2
260.9	848.1	262.1	847.9
784.2	52.1	781.2	56.1
77.0	230.8	79.2	229.9
430.6	425.4	427.4	425.2
991.2	356.6	987.2	357.8
38.1	963.1	36.1	961.2
704.9	551.1	702.9	548.7
249.7	824.6	250.8	827.7
933.2	109.6	933.1	113.7
946.4	522.4	946.5	521.7
427.1	798.8	428.7	800.1
722.3	410.0	722.9	414.4
38.5	890.8	40.9	892.8
83.7	910.3	83.4	913.4
831.5	631.6	834.9	632.3
212.2	866.8	211.3	868.9
807.2	507.1	809.9	509.6
394.3	729.8	392.9	730.0
712.1	793.0	714.8	791.2
940.1	818.5	940.5	821.9
229.1	724.6	231.4	724.6
338.6	509.8	337.7	511.3
541.6	66.1	540.2	64.4
227.2	861.5	227.3	864.8
999.1	310.8	1003.4	311.6
588.8	684.3	584.7	685.9
218.1	885.1	219.6	887.7
284.4	819.2	283.2	822.8
710.9	745.3	707.8	745.0
972.6	394.9	973.2	394.7
765.4	643.8	763.3	639.4
126.3	873.9	126.9	875.9
161.5	868.5	159.5	869.6
163.9	906.0	165.0	904.1
725.8	423.4	724.2	425.1
329.9	914.5	328.4	912.3
843.1	612.2	839.7	613.1
777.4	736.2	781.2	737.6
255.7	182.1	254.5	184.8
845.1	271.8	846.3	268.4
848.4	740.0	849.6	742.4
359.0	792.3	358.2	787.8
950.1	610.8	950.1	615.2
941.1	919.0	946.0	919.8
53.2	949.2	56.8	949.1
851.4	606.6	850.0	608.5
974.5	53.4	975.7	57.0
824.5	471.9	824.4	476.4
303.8	772.7	307.2	774.2
138.4	812.1	137.7	814.1
341.4	408.7	341.6	410.1
439.9	777.0	437.4	778.6
995.5	65.7	997.5	66.3
554.7	674.0	556.1	672.1
676.7	764.0	679.6	762.0
237.0	843.7	240.3	841.4
830.8	207.7	827.6	204.5
185.2	855.1	188.8	853.3
435.4	720.7	432.2	720.1
469.0	248.7	470.6	248.3
751.8	635.9	751.3	637.1
973.2	598.5	968.9	598.0
727.1	913.0	723.4	910.9
296.2	577.9	296.1	579.4
541.2	295.9	543.3	296.5
949.7	198.0	951.1	199.1
