# opt_x	opt_y	sar_x	sar_y
 3.8	289.7	 6.3	288.2
826.9	993.8	826.8	994.1
1016.1	436.9	1016.4	437.9
13.2	212.6	15.3	211.4
14.8	188.2	16.2	189.5
16.7	220.9	15.1	219.3
831.4	453.2	829.4	451.8
683.8	360.6	683.6	360.4
1014.0	427.4	1012.0	427.8
1013.5	401.2	1015.7	402.7
21.4	241.6	20.9	242.4
464.3	296.4	465.8	297.1
33.6	246.6	31.4	246.3
428.0	346.1	428.2	343.4
426.5	322.1	425.8	323.3
426.5	134.5	427.1	135.6
425.5	291.2	426.2	293.4
39.6	246.9	41.9	248.7
40.6	684.4	39.2	686.5
43.2	258.4	43.4	258.8
814.6	480.8	812.6	480.5
468.9	347.9	469.8	347.7
1001.0	904.2	1002.5	905.5
472.6	718.8	470.7	719.9
409.5	204.1	409.1	203.8
63.9	277.2	61.8	277.9
64.8	664.5	66.2	666.6
664.4	154.6	662.5	155.5
704.7	970.0	704.9	969.7
809.5	870.1	809.3	869.3
989.5	446.8	987.9	445.4
854.3	435.2	852.7	436.8
483.8	109.9	482.1	108.8
86.6	990.6	84.9	990.1
486.6	357.3	485.5	356.2
90.5	265.8	90.8	268.2
92.4	90.1	95.0	90.5
93.0	100.8	93.0	100.3
646.3	380.8	647.9	383.0
716.4	971.8	715.9	969.8
491.5	134.4	491.7	132.9
492.9	601.2	491.4	603.4
103.7	242.6	104.8	240.5
977.7	308.9	976.6	311.4
106.0	155.9	105.4	157.9
371.4	339.0	372.6	340.8
370.4	332.1	369.5	329.7
499.7	133.8	498.9	131.2
629.6	259.0	632.4	258.1
501.3	121.5	499.7	121.3
127.6	299.6	124.8	299.7
875.1	263.3	876.2	261.3
507.1	316.1	508.5	316.3
347.4	327.1	347.5	326.9
794.9	885.9	793.7	884.1
735.5	135.0	737.1	135.3
956.4	831.8	956.7	829.7
329.6	747.4	328.1	747.1
955.1	363.9	952.3	364.3
603.8	211.6	605.2	210.8
173.9	171.1	171.4	169.5
176.8	330.1	178.0	329.5
753.9	995.5	751.4	996.3
897.5	898.2	896.5	896.0
585.3	308.3	582.8	308.2
189.7	261.2	189.9	259.3
581.5	335.2	580.1	335.6
197.7	686.6	199.5	686.3
537.3	271.5	537.2	269.3
273.3	326.4	274.7	324.6
260.0	318.1	262.0	318.1
559.5	267.6	562.4	267.4
230.4	349.8	230.8	350.2
780.2	969.6	781.5	971.0
549.0	280.0	547.0	278.7
237.2	622.6	234.7	623.6
551.4	250.6	551.4	250.7
498.4	303.6	499.5	304.8
371.2	120.0	370.1	117.6
183.5	231.3	180.7	230.4
1016.3	414.9	1014.8	414.1
361.3	240.1	360.8	242.2
249.3	871.2	250.5	871.9
