# opt_x	opt_y	sar_x	sar_y
356.9	835.0	355.8	834.5
702.5	926.0	702.0	926.1
 6.5	914.7	 9.1	915.2
598.1	589.9	600.6	588.5
359.4	840.6	359.7	838.6
587.7	633.4	589.3	632.0
587.6	108.1	590.2	107.6
735.0	531.6	737.0	530.7
821.9	791.6	822.7	794.4
713.6	988.8	713.0	988.7
364.7	998.1	366.3	997.7
645.1	803.9	645.0	801.9
696.4	147.7	698.9	146.6
571.7	590.3	572.2	592.5
646.7	474.9	644.9	475.3
987.9	630.2	989.4	628.5
47.8	366.9	48.6	364.3
603.3	237.5	602.8	235.3
378.7	848.8	381.1	848.3
714.9	996.9	716.7	996.8
727.3	454.9	729.8	455.0
380.1	820.3	380.6	818.6
381.2	463.6	380.9	465.4
73.0	787.7	71.0	788.3
689.7	279.2	691.1	281.3
75.6	865.2	73.4	864.9
548.9	701.6	548.4	701.6
314.7	510.5	315.8	512.9
543.0	508.0	542.1	509.5
968.7	834.3	969.4	833.9
610.0	284.9	610.9	286.6
525.2	384.5	524.4	384.4
303.8	450.4	302.9	449.7
681.1	183.9	679.1	185.9
514.7	1017.0	515.4	1014.7
513.5	822.0	512.5	819.4
509.9	421.5	512.0	419.8
118.8	514.0	119.1	515.3
679.2	695.9	681.4	697.4
295.9	552.5	298.5	552.3
398.6	733.0	396.6	733.3
764.3	970.2	766.6	972.1
290.2	433.9	290.4	436.5
133.6	518.2	133.1	519.7
807.6	441.7	809.2	440.2
136.7	557.0	138.5	557.0
137.1	503.5	135.5	501.5
807.2	452.8	807.1	451.0
139.9	843.8	142.3	843.2
929.5	818.6	931.4	820.3
805.2	809.8	807.3	809.6
496.5	377.7	498.2	379.4
405.6	849.4	408.1	849.4
871.1	868.4	870.6	868.4
617.8	719.6	619.2	717.5
618.0	390.2	617.3	387.9
710.3	714.3	712.2	716.1
483.6	498.9	484.4	496.3
483.4	908.0	481.8	907.6
482.9	452.1	483.6	454.3
482.8	705.7	480.5	705.9
170.0	889.0	172.0	890.1
176.6	590.1	177.9	590.4
619.9	735.1	619.3	736.4
879.5	617.9	877.5	619.6
673.1	220.6	672.5	222.3
468.6	700.6	470.8	700.5
466.1	988.0	467.1	985.5
197.3	846.6	199.2	844.8
465.4	1006.8	466.0	1005.4
463.3	1019.1	463.1	1020.2
204.2	523.5	201.9	523.6
208.1	684.7	208.7	683.1
622.8	832.5	622.0	833.7
211.1	660.7	210.5	660.7
889.1	835.5	890.7	834.6
783.5	168.0	785.7	166.3
623.2	649.8	625.3	647.9
662.2	881.9	663.5	884.3
662.3	996.3	661.9	998.0
447.0	1007.4	448.3	1008.4
221.8	778.8	223.5	780.5
242.1	999.3	241.0	998.1
718.9	642.9	719.1	644.5
665.0	434.0	665.7	434.9
227.8	803.3	229.9	801.4
229.0	705.5	228.3	703.5
440.3	788.4	438.2	788.6
436.7	566.0	435.5	565.3
895.5	902.3	894.0	904.7
711.8	54.4	710.2	53.0
228.9	941.5	231.4	942.3
754.8	740.0	757.6	739.3
 8.6	933.3	 9.2	935.8
681.8	1007.9	680.0	1006.7
732.8	500.3	733.8	501.8
824.2	964.2	823.5	966.5
598.4	286.9	596.0	288.5
759.5	961.7	760.0	961.9
881.0	801.0	880.3	801.3
480.9	699.9	479.6	698.5
609.6	705.5	609.4	706.5
565.4	441.2	565.4	439.6
920.6	828.2	919.5	829.5
569.5	651.9	568.6	650.7
933.3	673.0	935.9	672.1
553.1	569.4	552.7	567.7
218.5	937.2	218.0	938.4
