# opt_x	opt_y	sar_x	sar_y
802.0	539.3	800.3	538.7
 6.0	925.0	 6.2	923.7
886.2	970.1	886.8	970.9
795.0	568.5	795.6	570.0
792.6	993.1	793.2	995.0
878.5	300.9	880.2	301.2
549.5	521.2	549.3	520.5
900.6	987.5	899.4	986.9
53.2	770.1	54.6	770.2
781.2	201.7	781.7	203.6
868.8	214.9	869.0	215.4
865.2	770.0	865.7	769.1
909.8	973.9	908.7	972.4
912.3	324.8	911.8	325.3
912.5	897.8	913.6	897.7
809.1	536.6	809.4	537.7
921.2	847.0	922.5	847.3
924.3	712.0	924.6	713.9
770.1	1001.1	771.9	1000.7
932.7	836.0	933.1	835.0
843.5	539.9	843.0	540.9
842.9	683.5	843.8	685.0
988.7	522.2	990.0	523.2
842.3	145.5	843.2	144.4
987.6	728.4	987.7	730.4
811.6	323.1	811.5	323.1
761.1	838.2	761.5	839.0
759.6	338.2	760.1	338.6
665.9	675.3	667.1	676.7
758.2	32.7	757.9	32.1
132.3	367.0	133.3	368.3
833.0	880.6	834.3	880.9
942.3	723.7	940.9	722.3
676.9	800.0	676.5	798.9
748.7	23.3	749.7	25.0
944.3	924.8	942.7	926.0
746.2	112.0	747.4	112.8
829.4	614.4	828.3	613.5
952.2	695.0	953.1	695.6
164.0	360.1	162.9	361.0
706.3	61.9	705.0	63.1
713.7	98.0	713.7	99.2
824.7	916.3	824.1	916.5
189.5	561.8	190.3	560.3
983.6	529.5	983.5	529.9
306.3	103.9	305.1	104.0
393.6	805.5	392.7	807.1
774.3	523.5	773.9	525.0
322.4	682.0	322.6	681.6
36.8	39.5	35.7	39.6
480.3	1009.7	478.7	1010.4
939.2	816.1	939.1	817.9
341.7	498.2	342.7	496.9
842.3	954.4	844.2	954.0
823.8	994.1	823.5	995.1
863.0	621.4	862.1	623.1
698.9	837.6	698.7	836.1
808.9	521.5	808.8	523.4
797.0	373.7	796.1	374.8
823.6	522.1	823.4	524.0
803.6	213.9	804.2	213.3
