# opt_x	opt_y	sar_x	sar_y
493.6	734.3	493.7	732.9
667.7	186.4	668.4	186.8
444.5	686.7	445.1	687.5
983.2	670.6	982.7	670.2
162.7	430.4	163.7	430.2
761.2	528.5	761.3	529.0
206.0	294.2	204.5	295.2
379.4	251.2	380.0	252.7
967.1	653.6	968.3	654.8
965.3	326.0	964.1	325.5
358.0	490.5	358.9	490.6
249.4	351.7	248.2	351.7
946.4	717.0	946.2	718.2
291.8	482.9	293.1	484.3
292.6	930.3	294.0	930.1
286.0	758.6	284.9	759.0
944.1	1016.6	943.4	1016.9
273.9	803.3	273.4	804.5
855.1	424.3	854.9	422.8
475.5	451.2	475.3	451.4
469.3	808.5	471.2	808.9
939.2	508.4	938.5	510.2
157.9	177.3	157.9	176.6
551.8	297.7	552.6	296.6
482.9	934.0	482.2	932.4
