# opt_x	opt_y	sar_x	sar_y
1007.0	1007.7	1001.9	1017.5
1002.9	869.0	1011.6	878.7
998.7	889.3	999.8	889.1
21.0	984.2	17.7	990.7
981.4	837.2	987.6	838.1
973.5	912.8	982.8	905.3
951.8	815.5	950.3	816.7
951.7	933.4	945.1	930.1
943.9	804.5	940.5	806.9
42.9	729.0	33.0	732.7
939.4	725.3	940.6	723.9
47.1	716.6	41.4	714.1
932.0	528.9	930.8	529.9
916.9	756.9	913.8	762.8
914.0	629.1	917.2	627.1
913.3	133.5	915.6	133.0
912.7	764.9	917.7	767.2
66.2	819.5	70.5	818.8
885.8	680.3	879.5	681.1
883.6	263.0	881.6	266.4
96.6	879.7	98.0	887.0
850.1	997.9	852.3	997.6
848.8	466.9	855.7	458.3
825.4	262.7	831.3	264.0
820.3	558.4	816.8	566.6
817.9	196.7	819.8	193.1
798.6	277.1	791.4	279.0
790.6	277.4	786.4	281.5
787.7	251.0	787.9	249.0
765.4	544.0	770.3	537.4
758.5	520.7	758.8	521.1
129.1	926.4	122.7	935.1
753.8	275.0	761.5	283.0
751.5	25.9	753.7	33.3
737.1	522.1	740.3	523.8
736.7	852.7	734.6	853.4
735.3	410.5	741.9	408.8
145.2	524.2	146.2	521.6
715.0	468.4	709.4	462.5
703.2	840.1	705.0	839.5
701.6	205.7	693.0	204.9
700.7	858.9	698.3	858.9
699.5	188.0	705.4	186.4
694.0	925.2	692.8	915.4
691.3	255.4	692.6	260.5
682.9	946.6	678.5	945.8
681.2	845.6	674.5	846.5
163.2	587.4	157.8	594.3
166.9	557.9	167.0	567.2
673.0	887.1	672.4	886.6
672.4	174.4	668.1	178.3
669.1	816.5	667.6	815.2
664.3	762.9	663.6	760.3
659.6	823.1	662.6	818.5
653.4	 6.1	658.0	 5.9
626.7	677.0	625.8	683.3
624.2	344.5	625.1	343.3
184.6	478.7	183.3	479.7
613.2	30.7	621.4	24.9
607.1	175.5	597.5	176.6
191.0	525.6	181.5	521.3
593.8	459.1	592.4	459.3
194.4	793.2	194.4	799.8
585.6	481.3	585.6	479.2
578.7	687.2	582.4	684.3
573.5	432.9	575.1	435.6
548.0	310.0	550.2	313.1
540.1	520.1	530.8	527.0
535.3	490.2	531.4	491.7
522.1	293.7	517.3	287.1
518.6	300.0	511.3	296.8
506.3	295.0	498.2	302.9
491.4	333.1	494.8	333.8
482.1	641.4	479.5	645.3
480.5	415.0	479.8	412.9
465.4	574.5	460.7	584.5
225.5	544.9	224.0	535.0
452.7	387.0	451.3	385.7
450.0	923.0	453.5	928.0
447.1	611.8	444.4	612.0
230.3	572.6	224.8	564.6
426.7	591.0	429.7	598.4
424.1	407.4	420.9	409.7
422.8	913.5	430.0	905.4
422.3	739.0	424.9	731.6
410.0	549.4	400.6	558.1
408.2	272.1	413.5	266.6
408.0	881.5	413.0	881.5
406.2	308.0	399.2	298.9
388.4	586.1	396.9	594.6
252.7	360.2	262.0	358.6
380.8	967.9	378.8	971.3
256.8	540.7	261.7	548.1
378.7	89.3	377.7	97.8
375.7	425.3	371.5	433.0
260.2	444.9	250.4	446.6
354.8	60.6	346.2	63.5
340.6	259.6	334.2	261.4
278.3	229.9	275.4	224.7
335.7	312.0	338.9	306.7
280.9	965.8	274.9	964.7
328.2	776.3	336.0	768.2
312.7	530.0	319.1	535.8
291.6	738.2	296.9	737.3
304.9	876.1	306.2	871.3
453.7	699.0	445.2	706.5
65.9	881.8	61.4	884.9
