# opt_x	opt_y	sar_x	sar_y
740.1	123.1	741.5	119.4
366.9	216.4	372.8	207.3
356.7	274.9	347.4	284.0
353.3	249.2	350.0	255.9
353.1	326.2	343.6	317.2
793.2	633.6	794.1	631.2
588.9	936.1	586.4	933.2
371.7	767.9	378.7	774.0
372.1	742.3	371.9	744.8
343.6	17.1	339.0	11.7
708.6	581.8	714.9	585.8
790.5	717.0	796.3	724.4
707.9	638.4	713.4	632.5
604.1	1005.8	597.2	1005.4
337.2	10.1	338.2	19.5
580.0	879.0	575.9	875.1
381.6	192.4	384.9	183.1
382.5	391.8	373.7	399.5
574.5	906.0	578.9	896.3
42.5	954.9	32.6	945.0
704.3	895.2	699.4	896.1
50.1	1019.0	46.1	1013.2
570.0	429.8	566.3	430.1
699.6	286.0	691.1	293.5
563.6	526.4	561.6	527.2
827.4	241.0	828.0	237.9
975.7	107.0	979.9	105.2
645.5	647.3	636.1	644.0
303.8	868.0	296.7	878.0
693.9	927.6	686.3	924.2
834.1	713.9	832.7	718.6
407.5	136.2	416.2	135.1
552.8	454.7	559.6	446.0
752.7	103.2	752.9	102.6
413.5	727.4	414.3	727.3
955.2	121.5	959.7	118.7
689.7	627.5	690.3	629.1
842.1	851.7	844.3	858.7
843.2	1012.6	837.4	1002.9
108.7	321.3	109.4	324.1
625.3	1011.4	620.2	1019.0
540.8	865.8	542.0	865.0
755.8	616.6	750.4	613.3
845.3	932.8	842.3	932.5
535.3	721.5	535.6	721.3
848.9	874.2	850.4	869.1
431.0	316.6	431.1	316.9
431.6	79.2	422.0	84.3
432.0	238.8	437.5	248.7
533.1	419.5	534.7	421.3
119.5	878.9	122.1	881.1
851.4	887.9	860.9	878.6
775.9	984.8	769.7	983.7
941.2	994.1	940.6	988.2
436.1	857.5	434.8	858.3
530.6	17.4	533.9	14.1
527.8	593.5	520.0	597.9
654.3	506.1	648.4	509.5
857.4	920.3	861.3	920.8
129.2	915.4	131.9	916.0
525.3	230.3	525.2	230.5
680.6	430.1	690.3	437.8
657.7	792.6	657.6	786.3
658.2	422.7	658.0	423.9
729.3	65.4	729.5	60.5
927.7	964.6	922.7	960.5
865.7	757.6	861.2	763.0
514.9	1001.4	514.7	996.1
514.8	798.5	514.6	797.2
454.1	147.9	455.1	153.5
454.4	670.6	451.0	680.3
513.3	337.1	508.9	338.5
144.0	261.1	152.2	264.4
456.0	188.7	452.6	197.2
457.1	898.6	463.6	908.5
661.9	400.2	661.7	398.3
661.9	941.3	668.3	945.3
150.5	416.2	160.4	419.3
871.4	904.3	865.0	902.0
619.8	740.6	626.9	746.6
463.0	442.2	460.2	448.1
463.6	678.6	463.9	675.5
674.1	631.5	676.9	621.9
465.5	388.9	464.8	390.4
884.3	940.4	880.1	939.3
466.3	221.0	465.9	222.0
466.4	632.7	467.2	631.8
494.1	146.7	499.5	146.0
493.3	913.4	503.2	919.8
618.9	969.4	610.4	969.0
169.1	26.5	176.8	34.4
905.6	926.2	898.8	916.7
469.7	257.8	473.0	257.3
175.4	572.5	178.7	580.5
484.7	441.7	483.0	441.9
202.3	873.1	204.9	879.2
484.1	512.7	475.4	511.1
483.7	619.2	491.5	628.4
762.5	732.8	763.1	730.5
482.6	367.0	485.4	374.3
476.2	236.0	473.4	236.9
481.5	305.3	476.9	301.6
476.9	644.3	477.1	644.7
750.6	544.9	750.7	539.6
945.5	810.1	939.8	818.2
387.3	852.6	390.3	852.5
654.0	394.0	659.4	390.2
358.5	254.0	352.0	248.1
25.7	975.9	34.6	981.4
873.7	668.9	878.8	659.1
804.4	538.3	796.9	535.2
367.5	38.6	374.8	48.4
408.1	120.2	408.3	121.9
639.5	415.8	648.2	418.7
248.4	922.4	239.4	917.1
541.9	627.4	536.6	625.0
49.8	571.6	40.4	579.2
337.6	244.4	330.3	242.9
