# opt_x	opt_y	sar_x	sar_y
996.0	776.2	1002.3	785.7
792.4	703.8	791.6	700.4
890.3	700.5	892.1	693.1
16.5	 6.5	15.5	 5.7
1007.2	770.6	1009.3	778.3
539.0	70.8	542.8	70.5
559.8	76.3	553.9	79.4
800.8	812.0	791.5	811.5
943.1	200.8	940.9	193.9
947.6	871.2	944.7	862.5
35.4	63.4	34.8	62.2
35.9	74.0	35.0	75.3
97.1	528.4	87.8	523.0
600.3	63.8	609.7	59.6
60.4	78.4	59.8	86.8
838.4	846.6	833.8	842.1
884.6	775.8	881.2	774.8
758.5	830.7	757.7	825.8
85.2	514.0	83.0	513.5
91.0	531.7	82.1	533.2
101.0	508.2	92.9	508.2
941.2	893.9	945.9	897.6
875.3	797.7	884.0	792.3
908.5	889.8	913.9	892.7
971.4	61.5	964.0	55.5
811.4	818.6	810.2	815.6
43.6	77.5	41.3	81.2
68.4	139.9	70.2	136.1
149.8	523.5	143.9	523.3
40.7	91.5	36.6	89.2
1004.1	269.6	1004.7	272.3
768.6	807.9	776.9	816.1
869.9	703.6	862.5	707.4
966.2	885.1	962.3	888.7
815.0	811.8	822.4	812.0
