# opt_x	opt_y	sar_x	sar_y
595.5	304.4	602.8	302.8
 6.3	420.2	 4.6	413.7
701.9	179.9	709.0	175.4
824.4	891.3	830.4	896.2
587.7	633.4	589.3	632.0
830.8	960.3	823.5	966.5
361.6	41.0	370.3	42.0
585.9	682.4	580.1	680.0
735.0	971.8	730.5	981.2
364.4	1013.3	370.6	1007.5
713.6	988.8	713.0	988.7
364.7	998.1	360.3	992.0
583.0	665.4	587.7	664.6
599.8	678.4	603.6	677.3
578.5	258.2	587.5	265.1
35.1	383.3	33.5	389.1
696.4	147.7	698.9	146.6
695.7	999.3	698.2	996.8
819.6	942.8	820.2	946.0
838.1	1019.0	847.3	1018.2
712.3	955.5	720.8	957.6
603.3	237.5	608.6	240.7
325.4	486.9	328.6	485.7
562.8	676.1	558.6	670.8
559.8	614.6	566.8	618.1
714.9	996.9	716.7	996.8
558.9	686.5	553.6	684.7
556.8	422.5	564.1	418.6
549.1	599.0	553.9	603.4
687.5	150.7	691.8	150.6
606.3	289.1	610.9	286.6
748.7	985.5	750.9	991.5
539.1	420.1	542.5	412.3
608.8	697.7	609.4	706.5
608.9	251.9	614.4	252.5
609.2	652.6	613.3	653.8
97.6	839.2	97.8	833.8
951.4	832.0	945.9	828.5
856.9	831.0	862.3	825.4
612.0	657.7	621.0	664.6
613.3	638.7	616.0	640.9
514.0	848.3	509.0	850.4
513.5	822.0	512.5	819.4
115.3	841.4	108.5	833.7
511.0	433.8	515.6	431.4
508.6	864.6	515.0	868.1
127.9	880.1	134.4	874.5
677.6	174.7	681.0	174.3
929.5	818.6	931.4	820.3
495.3	452.7	501.0	450.3
804.1	892.8	800.4	891.5
871.1	868.4	870.6	868.4
494.0	409.4	498.1	415.4
617.7	644.7	625.3	647.9
489.6	797.0	489.2	787.3
656.8	986.3	660.7	986.6
489.3	828.6	483.3	829.6
922.1	854.3	913.2	849.6
488.1	868.3	486.0	861.5
483.4	908.0	481.8	907.6
482.9	452.1	483.6	454.3
657.9	992.6	661.9	998.0
478.6	799.1	481.5	798.2
620.3	294.8	624.8	297.4
914.8	783.6	918.9	782.5
914.0	834.3	919.5	829.5
672.0	983.8	680.3	981.1
463.3	1019.1	463.1	1020.2
462.1	866.2	459.7	869.9
461.7	880.0	459.0	874.9
782.1	954.4	779.6	952.3
907.9	821.3	912.0	815.5
668.3	126.9	677.0	119.7
889.1	835.5	896.7	828.9
783.5	168.0	785.7	166.3
623.2	649.8	632.8	659.1
709.7	980.5	719.4	978.4
903.7	828.5	894.7	823.9
902.5	808.3	906.6	811.4
663.0	152.0	668.2	150.9
900.0	886.7	893.9	886.3
897.6	852.1	901.4	853.9
664.4	1004.9	669.1	1010.2
436.7	566.0	435.5	565.3
896.2	754.2	902.2	757.1
753.4	961.1	760.0	961.9
593.0	280.5	596.0	288.5
444.4	403.9	446.4	401.5
681.8	1007.9	680.0	1006.7
521.9	631.0	523.4	635.1
636.8	231.2	638.3	234.9
514.6	44.2	521.9	43.3
860.7	341.8	864.3	345.6
887.5	775.8	895.2	776.9
509.5	645.9	517.8	653.7
671.1	997.3	675.3	996.5
536.2	434.3	535.6	428.2
778.3	981.5	780.5	985.9
881.0	801.0	886.0	797.0
577.5	626.8	574.2	623.2
474.3	901.5	467.4	901.3
565.4	441.2	565.4	439.6
499.1	801.3	499.7	797.0
569.5	651.9	573.3	645.0
496.1	846.9	496.6	853.2
586.3	674.4	587.9	671.3
876.2	819.8	872.7	812.5
