# opt_x	opt_y	sar_x	sar_y
455.0	15.1	429.7	19.2
 3.7	448.4	 9.5	431.2
 5.6	577.1	15.5	586.5
 9.5	240.3	15.5	663.0
579.0	170.0	600.7	165.2
465.2	183.4	472.1	182.6
467.1	229.0	480.4	268.4
467.5	174.9	473.1	176.9
467.8	45.7	478.7	43.4
636.6	453.2	658.9	461.9
468.6	65.9	492.3	65.5
639.2	524.0	655.3	541.8
642.5	297.1	858.7	357.9
470.7	 8.2	492.0	 5.0
472.1	196.4	479.6	188.0
364.1	198.5	376.2	203.1
362.1	203.2	394.5	311.7
357.5	169.9	376.3	175.3
356.7	205.4	385.7	312.7
23.2	940.0	18.0	933.0
986.1	873.5	969.8	858.5
476.0	297.0	496.6	314.4
330.6	89.8	330.2	85.7
982.7	604.9	983.3	515.1
320.8	52.4	332.4	55.3
30.0	34.2	30.7	33.9
478.7	87.0	511.4	84.9
479.1	149.0	529.8	146.7
480.5	79.3	504.1	81.8
481.4	131.2	534.2	126.3
264.3	17.7	261.9	24.3
970.2	802.8	954.4	756.3
732.3	466.2	702.3	484.5
40.7	250.4	44.5	269.8
488.2	101.9	524.8	105.0
962.8	803.3	936.0	636.1
42.5	161.7	42.5	170.9
747.9	457.2	746.2	454.7
45.9	231.5	48.6	203.8
209.3	964.6	226.6	952.8
493.2	302.9	515.8	319.6
193.0	883.7	188.7	875.7
51.9	422.4	61.3	389.4
51.9	112.2	52.7	113.1
186.4	 7.3	201.1	13.5
178.4	 6.8	176.4	 3.8
176.3	870.2	183.2	854.1
172.2	18.9	174.6	23.3
170.6	150.5	167.8	157.2
168.9	126.2	187.2	137.8
163.5	954.6	159.9	950.1
158.4	17.1	150.1	21.0
156.0	 5.3	156.4	 8.1
155.3	880.3	152.0	877.9
153.4	903.0	148.1	901.3
150.1	46.7	162.0	70.4
64.2	31.0	66.2	40.1
143.4	928.0	155.2	918.1
844.9	485.3	841.0	489.2
136.9	932.7	139.3	935.6
135.6	771.2	149.0	763.7
133.8	44.4	128.7	73.7
133.2	 9.0	131.0	12.7
129.8	610.9	137.0	628.6
933.9	364.9	931.7	335.8
128.5	933.3	127.7	932.0
127.6	920.5	125.7	914.1
70.0	561.6	84.8	547.1
125.1	879.1	126.0	883.6
125.0	955.1	120.9	949.4
125.0	266.7	123.3	305.7
113.5	22.5	112.5	30.7
74.0	1011.1	69.5	1004.7
111.2	880.2	113.5	881.3
74.7	971.1	76.9	961.7
110.2	12.9	110.1	19.4
106.5	996.3	104.3	991.7
105.6	140.6	101.1	151.4
105.6	881.9	103.4	882.0
76.5	869.7	71.4	865.9
102.7	37.7	91.3	48.6
901.4	563.5	893.2	593.3
80.2	 8.3	80.3	13.0
80.2	331.8	94.5	299.8
92.1	52.2	87.5	57.3
90.2	510.3	112.1	803.9
82.1	28.5	75.7	38.9
85.6	763.2	95.4	749.4
87.8	1012.5	80.7	1018.1
89.3	874.5	80.6	865.5
458.7	105.4	448.0	108.9
91.1	488.1	110.3	414.5
599.4	316.0	628.8	319.7
91.2	890.2	93.7	882.1
81.3	827.6	85.9	816.2
601.5	489.0	620.1	486.9
461.1	84.5	458.9	82.0
80.8	122.0	87.6	114.7
92.7	13.8	89.4	19.2
 7.0	358.4	14.1	350.3
95.2	60.3	95.2	85.5
463.9	68.6	461.9	63.9
101.6	751.8	107.1	729.4
101.6	30.7	100.5	36.0
1011.5	862.8	1003.8	875.2
106.9	237.3	112.3	234.0
577.8	314.4	585.7	339.3
16.0	326.0	18.8	299.8
470.7	109.5	485.2	110.0
875.4	544.8	868.2	557.5
470.7	95.1	495.5	100.4
646.4	503.8	675.9	507.1
381.6	139.2	391.6	142.5
113.7	946.4	108.7	932.7
17.5	649.1	25.4	621.5
17.8	71.3	26.2	80.3
662.2	500.6	683.9	517.9
19.3	388.7	22.9	383.7
119.4	922.0	116.7	916.7
358.2	20.3	319.0	28.5
995.1	732.8	990.4	761.6
987.8	761.2	977.6	768.7
860.6	534.0	867.3	541.3
25.5	226.6	20.7	228.6
132.3	22.1	136.4	29.1
686.1	417.8	624.0	808.6
67.8	391.3	85.6	372.8
134.8	216.3	141.0	222.3
849.5	461.9	851.9	478.1
844.5	463.5	834.1	441.0
140.5	669.2	149.2	627.9
143.2	1018.9	145.2	1013.5
33.3	228.0	37.4	183.1
33.4	40.7	23.6	55.5
147.8	983.5	155.3	972.4
286.8	121.6	274.0	127.5
829.8	468.4	807.8	448.5
273.0	 6.8	260.8	 8.6
151.8	852.3	159.2	826.4
152.0	993.2	157.0	988.5
36.8	847.1	35.6	812.5
61.8	14.6	56.8	23.3
483.6	225.0	528.5	233.2
36.9	407.4	38.6	401.5
483.8	160.4	521.8	156.7
258.7	26.5	255.9	29.1
485.2	115.3	519.2	115.1
251.2	33.3	247.8	39.7
247.1	14.4	250.1	19.7
944.4	548.2	945.3	510.6
234.0	65.8	229.2	70.9
42.8	115.3	40.6	117.7
43.4	337.6	48.1	345.2
230.8	209.1	702.0	607.5
227.5	108.0	225.6	116.1
164.1	230.4	173.8	236.1
223.5	955.8	226.6	945.1
217.3	942.3	207.3	935.5
57.5	995.5	48.6	991.7
169.0	163.5	161.1	182.9
170.1	119.1	170.1	119.4
213.0	781.5	239.3	768.8
209.5	117.9	217.0	128.6
208.9	929.0	206.8	922.0
206.4	912.2	220.4	905.4
173.9	913.3	171.8	913.1
200.9	898.5	188.3	893.0
196.7	983.0	201.2	976.9
178.1	910.5	179.7	900.5
55.3	277.7	58.3	287.1
953.2	765.5	937.9	755.6
195.1	243.7	216.1	239.3
192.6	992.8	198.1	986.0
55.1	30.4	40.8	40.4
567.0	403.5	581.9	430.6
188.0	983.5	178.7	977.0
187.7	932.1	175.5	921.9
181.2	953.5	177.4	952.7
54.4	672.9	63.1	639.8
184.7	19.0	186.7	24.7
57.7	469.7	68.8	433.6
46.8	432.6	55.8	426.4
385.1	58.4	411.7	55.6
981.9	775.1	969.1	763.1
76.6	704.8	84.3	722.1
120.2	510.9	139.3	507.2
912.5	463.6	905.4	434.7
17.4	349.3	16.7	333.2
61.7	255.8	67.6	254.6
91.1	701.9	104.3	719.5
733.6	500.5	712.1	540.6
591.0	404.0	596.7	409.0
588.8	150.8	621.6	146.9
192.0	151.4	227.9	167.4
82.2	36.1	75.8	49.3
32.9	393.6	36.3	392.8
260.8	172.7	255.5	181.1
199.8	872.5	197.4	865.8
32.9	483.9	37.6	485.1
275.8	60.4	249.1	69.7
