# opt_x	opt_y	sar_x	sar_y
10.4	157.3	12.5	155.2
16.9	68.1	28.5	73.4
1019.6	60.6	1016.4	74.8
1018.6	616.5	1014.5	618.7
1018.2	247.2	1013.5	276.6
1009.8	310.5	1012.8	342.9
1006.0	120.3	1007.1	126.7
24.6	648.7	29.3	652.9
25.6	127.3	20.0	127.3
27.0	160.9	27.8	158.8
29.4	628.6	30.5	627.7
996.1	92.9	997.4	94.1
31.3	135.4	38.9	142.1
982.6	261.5	985.4	287.4
33.0	125.2	43.7	122.2
979.4	312.0	979.6	318.3
976.7	250.5	979.5	263.8
972.9	263.9	972.5	280.9
45.6	54.5	53.4	63.8
959.8	237.4	957.2	241.2
958.0	64.8	956.5	60.1
956.6	154.8	956.9	159.7
55.4	1016.4	46.0	1010.1
60.9	81.5	66.8	79.8
943.1	521.8	966.2	542.9
67.8	205.9	65.0	214.8
69.5	64.1	74.0	65.2
72.5	21.5	77.5	22.4
75.1	126.1	76.9	122.1
927.1	242.6	935.9	251.2
81.0	107.0	85.7	108.9
922.6	645.0	931.4	653.4
89.3	153.7	90.5	147.1
914.9	253.2	917.4	248.8
903.3	250.2	907.4	247.7
102.0	139.3	103.6	142.1
102.6	150.5	110.6	155.5
117.5	129.6	119.5	133.2
868.5	618.4	876.8	611.6
127.6	178.8	124.8	176.4
844.1	586.5	843.9	585.9
133.7	12.0	140.3	13.2
135.9	169.5	136.2	170.4
807.0	536.2	801.2	536.4
140.4	517.7	124.7	539.9
142.5	79.2	152.2	78.4
799.1	496.0	778.8	497.8
792.9	416.4	815.4	427.6
147.0	146.2	149.9	147.8
150.5	221.3	159.5	221.4
156.8	212.8	170.7	222.8
774.8	531.4	761.8	556.6
173.1	62.7	179.4	58.1
755.6	454.4	743.6	469.4
751.6	449.2	719.3	449.5
187.9	55.5	199.3	47.6
735.7	633.0	693.2	624.1
665.1	122.1	653.6	114.2
664.2	384.2	569.1	369.8
663.5	449.0	557.5	452.3
663.1	436.4	553.4	424.9
253.6	434.8	188.9	835.6
613.9	522.7	535.1	579.3
612.0	483.5	532.9	537.5
312.7	120.2	298.7	110.6
313.1	46.6	301.7	36.7
317.3	239.1	300.3	232.3
318.4	170.2	295.5	159.5
319.2	184.6	301.4	176.0
319.6	210.7	297.9	206.1
321.3	197.2	294.4	189.8
325.2	145.7	311.9	134.2
327.5	52.5	312.9	43.1
327.5	168.7	311.2	164.4
331.9	180.9	315.0	168.9
333.4	214.5	314.6	211.1
333.6	228.7	328.2	217.6
337.4	242.4	329.7	237.5
338.4	194.4	329.2	190.3
338.5	126.1	327.8	115.0
339.7	167.6	339.1	159.1
569.5	449.5	462.9	460.2
567.6	370.2	481.2	382.5
348.9	144.6	349.6	134.7
349.3	248.9	341.0	233.3
355.8	175.8	363.2	165.4
552.4	429.8	445.2	428.3
549.7	476.5	456.3	504.7
19.8	192.0	20.6	205.4
21.7	630.0	19.8	637.6
26.3	18.4	39.3	13.3
997.6	56.5	994.3	54.0
990.0	138.4	993.0	135.2
988.3	182.5	991.9	187.8
37.6	223.0	39.8	260.6
38.8	184.0	33.3	189.8
971.0	212.3	969.7	220.4
967.8	84.2	963.2	63.5
959.1	602.7	972.4	598.5
956.7	149.2	950.0	144.8
946.0	246.3	947.9	262.9
72.4	144.7	75.5	145.7
84.2	32.4	81.3	26.8
360.6	265.2	355.0	241.0
907.5	539.8	906.0	536.7
893.2	424.0	886.5	428.6
885.3	257.4	884.1	281.4
123.4	70.2	120.4	63.4
126.7	200.1	130.7	201.2
128.7	118.0	130.1	119.5
338.0	272.6	311.6	259.2
128.8	137.6	129.9	145.6
139.0	511.5	110.9	542.0
139.2	190.0	138.6	199.9
786.2	530.3	772.1	543.1
311.8	65.1	289.8	52.1
311.4	108.7	303.2	98.9
771.4	402.1	755.4	379.5
187.3	15.7	811.3	 7.3
188.2	45.6	191.6	37.2
212.1	98.2	206.8	103.2
723.3	648.5	682.3	680.0
718.1	428.2	678.7	419.4
709.2	555.8	663.3	584.3
689.9	387.2	657.3	374.7
689.1	123.2	688.4	114.9
221.9	92.9	218.3	79.3
223.8	512.1	184.3	538.1
686.2	351.5	669.1	338.2
235.8	102.4	230.1	98.5
236.7	58.2	250.4	51.6
244.2	421.6	188.0	451.0
1017.0	162.5	1009.6	165.6
250.9	186.9	251.2	186.4
999.4	339.4	997.4	338.3
255.2	62.7	268.7	52.6
37.8	74.7	44.3	66.6
699.5	416.7	670.2	413.0
214.2	417.2	172.8	428.9
213.6	122.6	201.8	125.1
633.9	447.6	545.1	479.5
714.5	441.3	678.6	441.5
945.4	722.3	936.3	720.6
66.3	177.0	58.1	195.9
743.6	35.8	761.9	32.9
747.5	568.7	711.7	586.8
75.7	80.1	90.8	78.5
754.2	720.5	711.0	715.7
604.6	455.7	540.3	502.7
924.3	270.2	930.5	283.8
763.8	516.9	746.1	511.1
764.4	628.8	726.7	631.4
169.6	111.3	196.7	125.0
768.1	434.0	763.6	440.7
160.6	194.6	169.7	209.6
155.1	116.1	151.8	130.0
100.8	28.7	103.5	23.0
893.6	645.8	891.9	659.5
110.7	53.8	115.8	50.0
590.9	355.5	539.4	348.5
138.5	57.0	147.6	57.0
820.1	458.9	823.3	461.3
825.1	737.7	730.3	742.5
