# opt_x	opt_y	sar_x	sar_y
 3.1	485.3	10.3	481.6
1019.5	14.9	1020.1	20.2
1019.0	260.8	1016.0	259.5
1017.4	415.7	1008.6	415.4
1016.6	926.5	1017.1	917.8
1009.9	396.7	1011.7	396.3
1008.3	60.4	1014.0	63.9
1008.0	390.4	1010.5	389.4
996.4	34.7	997.1	41.4
 7.0	521.7	 9.2	523.0
991.4	426.6	994.8	426.7
990.2	376.9	990.9	375.3
989.6	10.0	989.6	14.1
982.5	160.9	974.6	162.6
982.3	411.0	986.5	411.4
977.6	20.0	975.2	17.2
976.4	79.3	980.5	87.4
11.6	20.7	 7.8	15.9
973.0	60.5	971.8	54.1
972.0	177.3	971.0	183.5
12.3	725.7	 9.1	722.8
13.0	797.5	13.9	800.0
968.9	397.8	967.4	391.5
967.1	59.2	965.1	54.9
965.5	873.0	957.5	869.5
960.9	396.6	962.4	394.0
960.0	167.2	957.6	171.1
16.6	808.6	11.9	807.3
17.4	121.1	18.8	124.9
952.6	150.4	947.8	143.3
950.8	813.5	950.5	807.5
948.4	74.3	950.1	71.3
946.6	50.1	939.3	46.8
943.6	850.5	941.0	851.9
942.6	162.5	946.3	167.5
941.5	402.7	948.5	403.6
937.6	147.1	937.5	145.0
931.0	854.1	931.1	848.9
930.6	356.1	934.6	357.7
929.0	167.0	937.6	170.5
927.4	896.1	926.9	892.7
26.0	791.3	27.8	794.6
922.9	390.7	915.7	384.1
922.0	861.3	921.6	861.8
911.9	678.4	911.5	674.1
911.8	835.9	906.7	830.3
906.5	237.0	907.5	240.1
30.6	704.0	23.6	700.3
32.1	711.7	35.0	713.1
895.1	948.3	902.2	947.9
894.5	330.1	900.6	335.0
882.1	849.6	883.9	842.4
35.0	745.0	38.4	747.0
35.1	719.9	40.2	718.6
868.0	175.8	860.7	181.3
36.7	988.5	45.6	989.3
849.8	58.3	849.1	58.9
848.3	176.3	853.9	178.9
843.3	151.6	845.5	157.7
837.5	66.3	832.5	65.3
811.3	1010.8	816.1	1012.9
807.5	211.2	804.2	211.1
800.2	878.6	805.4	877.0
41.5	502.6	49.7	501.2
793.6	210.2	791.2	209.1
789.6	44.2	791.6	44.1
783.6	207.7	777.7	210.5
772.1	20.0	766.6	14.9
771.1	970.7	769.0	974.7
762.1	279.4	765.0	278.3
761.4	990.4	766.5	987.1
756.7	906.0	762.1	902.0
753.0	97.4	753.6	101.1
