# opt_x	opt_y	sar_x	sar_y
338.9	579.4	339.7	578.0
360.6	458.0	359.1	460.9
361.0	660.8	360.2	659.9
17.3	636.0	14.1	634.2
285.5	674.5	282.2	673.8
505.8	851.3	502.3	851.9
971.2	1005.8	968.1	1006.5
539.4	752.1	537.0	752.5
961.0	677.9	963.1	678.3
548.2	981.5	548.4	977.8
243.1	582.7	240.3	582.3
572.0	973.7	574.0	974.8
574.5	876.7	571.1	875.5
580.4	941.3	577.7	944.0
593.6	919.9	593.8	919.5
936.8	681.8	934.1	683.7
603.8	963.9	600.9	964.9
213.6	975.6	213.6	976.8
210.1	634.4	213.1	633.3
615.7	795.7	616.1	794.8
627.4	663.8	625.1	665.7
634.2	738.0	637.2	737.8
181.4	723.4	181.7	726.1
642.1	761.8	638.3	761.8
651.6	546.8	651.9	549.8
659.7	743.8	656.5	744.7
673.8	676.7	676.1	676.3
681.2	698.6	680.0	700.9
685.4	759.0	685.9	761.7
689.2	654.1	688.2	654.5
689.8	577.9	690.6	581.4
690.2	520.7	689.3	521.3
698.9	755.0	699.0	753.5
121.6	598.9	122.4	597.9
121.4	576.9	119.8	577.0
119.4	441.4	122.3	440.2
713.5	614.1	714.4	614.2
715.8	553.2	715.9	554.1
97.3	560.9	96.1	563.7
785.9	620.9	783.5	622.8
780.9	599.3	779.5	595.6
769.4	649.5	769.7	651.5
91.6	562.4	88.8	562.7
785.6	628.7	789.2	627.6
787.7	344.0	786.9	345.6
761.4	693.6	763.8	691.7
789.3	475.0	792.7	473.8
755.5	817.9	752.9	816.9
730.8	659.4	729.8	661.7
726.8	560.9	728.9	561.5
384.3	690.0	385.6	692.8
719.3	658.8	721.8	657.3
111.8	794.0	111.3	791.8
702.3	25.6	699.3	23.0
397.7	415.0	399.5	412.0
397.8	384.5	397.2	386.6
694.4	292.6	697.6	294.7
401.8	397.1	403.0	397.0
693.4	712.9	694.6	713.1
689.9	664.9	686.3	665.5
1003.0	766.1	1001.6	764.3
688.5	391.9	688.4	390.6
138.5	996.1	134.8	996.8
841.2	340.2	842.5	341.7
139.5	987.0	143.2	988.3
420.7	338.6	417.7	336.8
677.9	955.0	679.7	955.2
668.2	528.9	666.9	526.3
431.4	644.9	433.4	644.4
667.9	664.1	665.7	663.9
661.0	1013.3	660.2	1017.0
660.5	525.8	659.5	525.8
51.1	879.0	49.1	882.3
164.7	187.8	165.6	189.6
653.9	664.5	654.7	665.4
651.2	778.3	649.7	781.0
169.1	726.8	170.5	723.1
169.2	704.3	170.2	704.9
448.9	318.4	451.6	321.2
646.3	558.9	645.7	557.0
643.7	550.8	642.3	552.9
641.7	832.4	643.9	832.0
461.4	617.4	462.7	618.6
638.5	977.3	640.6	977.7
44.6	566.6	48.4	565.6
180.0	735.2	180.9	734.5
887.9	894.9	885.5	892.6
987.1	935.3	985.4	935.0
629.8	550.3	629.7	546.4
624.2	750.8	627.5	748.5
618.3	965.6	618.5	963.0
198.4	416.5	195.8	418.6
199.8	719.8	198.8	723.2
613.3	665.6	611.1	666.0
609.9	783.9	608.2	781.2
609.6	924.1	612.3	921.6
609.0	953.4	608.4	954.0
916.5	659.6	918.9	660.5
606.8	260.0	607.6	262.1
277.1	416.8	277.8	418.2
216.5	683.2	219.6	682.9
221.6	355.3	223.8	356.9
589.6	933.1	592.1	936.0
586.5	666.7	583.8	665.2
949.2	601.8	946.5	603.2
577.3	370.0	578.7	371.0
529.4	863.5	530.6	865.1
573.0	914.0	569.8	914.1
572.4	293.2	570.4	290.6
263.6	677.0	261.2	678.4
25.9	19.9	24.6	20.6
25.8	918.6	27.8	921.4
259.4	761.6	255.9	762.7
299.2	409.0	297.9	412.0
93.6	148.5	93.3	145.0
689.7	763.1	691.4	762.0
619.4	802.7	621.1	806.1
734.2	691.0	735.5	693.1
881.1	262.6	878.0	262.3
