# opt_x	opt_y	sar_x	sar_y
638.8	948.0	638.1	949.4
331.3	464.9	330.3	467.2
932.8	947.1	933.7	943.9
35.1	102.1	38.4	104.3
621.1	984.0	622.3	983.4
619.9	815.8	622.5	818.3
205.8	25.9	209.4	26.5
739.9	1000.4	738.3	1001.0
808.0	285.4	808.7	282.5
678.4	883.6	678.3	885.3
10.0	56.1	12.2	54.8
391.1	724.8	390.2	722.8
816.6	411.4	817.3	414.8
684.8	502.0	682.9	501.3
952.9	683.6	955.0	682.2
577.2	827.0	575.5	827.4
732.3	830.9	732.8	830.3
688.1	794.5	690.1	793.4
557.4	848.0	555.8	850.4
553.0	856.1	550.8	853.3
908.6	578.6	908.2	579.0
822.2	973.3	822.2	973.2
823.2	995.4	820.1	993.5
535.9	780.9	535.0	780.1
295.0	642.7	294.9	641.9
530.2	877.8	528.3	876.6
728.1	819.6	730.7	822.0
727.6	710.9	725.6	708.7
524.7	761.5	522.7	761.7
723.9	450.3	726.9	452.0
701.3	345.5	702.7	346.1
893.0	540.7	895.7	543.6
703.7	53.8	705.9	52.4
150.4	79.6	147.4	78.8
483.5	624.3	482.0	624.7
21.2	77.1	24.8	78.4
760.2	75.4	762.8	73.9
474.0	633.7	477.9	633.5
467.4	600.9	470.2	602.8
762.1	484.0	762.2	483.7
465.6	691.9	463.6	691.2
258.7	118.8	255.7	117.5
204.4	128.3	201.7	127.0
682.0	660.6	681.1	663.7
939.0	605.2	939.3	606.2
