# opt_x	opt_y	sar_x	sar_y
781.8	380.9	591.2	307.3
791.1	128.1	457.5	493.9
96.8	89.2	975.9	942.6
106.7	115.7	964.9	955.8
145.8	70.1	154.6	71.3
148.3	46.4	151.0	52.9
157.1	39.6	153.6	38.4
157.5	191.4	650.7	709.8
800.2	126.3	635.7	176.8
771.5	363.9	868.1	866.2
188.8	198.8	981.3	966.5
191.6	64.9	656.0	682.6
192.4	108.3	192.4	110.6
195.2	55.1	192.4	59.4
200.5	49.3	199.5	44.5
202.2	95.0	197.1	87.9
1004.0	499.3	943.2	709.4
221.1	15.9	220.5	22.0
227.8	106.2	204.6	111.0
234.0	 8.0	240.4	10.2
995.0	445.1	914.1	280.0
748.0	834.3	905.8	936.1
994.2	433.1	998.2	55.4
743.9	20.6	722.9	27.1
992.1	827.9	384.1	821.2
378.3	92.5	918.5	594.4
414.0	260.1	915.1	146.0
840.1	104.6	619.8	161.3
433.7	100.9	994.8	470.0
841.8	92.8	148.9	108.0
439.5	294.4	120.7	110.4
844.5	530.3	832.0	760.4
846.0	932.9	777.3	818.1
854.7	38.9	894.8	179.9
857.1	600.2	397.9	184.7
496.9	574.5	892.4	910.3
497.8	594.6	854.1	896.6
943.8	325.0	280.3	258.3
859.9	936.3	766.9	803.4
502.9	578.4	969.4	960.8
503.0	350.1	64.6	59.1
508.6	584.0	946.7	942.9
510.4	559.8	662.7	669.4
513.0	602.8	918.3	935.2
676.4	103.7	425.0	454.4
866.8	129.7	708.6	432.2
868.3	47.7	907.6	147.2
870.5	125.9	893.1	576.5
927.5	175.4	951.3	513.9
927.3	226.0	785.5	457.4
922.7	234.2	840.8	512.8
874.4	135.4	205.0	23.1
921.3	214.7	794.5	627.8
874.8	116.6	920.1	268.9
551.1	327.8	587.3	601.7
918.1	693.7	829.2	818.2
917.7	126.7	870.6	799.6
917.0	169.6	310.9	147.5
915.1	273.7	788.8	774.7
879.0	362.9	814.4	146.2
879.7	82.3	878.0	417.0
906.0	154.7	924.6	323.2
575.5	399.8	643.9	540.0
577.0	410.5	796.3	128.7
905.3	220.3	670.0	364.9
880.1	277.1	837.2	845.4
882.2	129.0	905.7	282.7
901.1	818.7	564.3	176.2
587.9	386.0	899.5	294.3
591.3	686.3	44.7	38.8
594.2	377.4	874.4	777.1
899.5	130.4	888.1	153.2
890.4	149.1	371.1	186.5
895.2	295.8	977.9	643.0
892.6	162.4	837.9	778.8
631.8	293.7	389.4	143.0
899.9	234.0	992.3	322.0
887.0	112.8	867.0	465.0
182.6	184.7	988.6	969.9
198.4	72.3	197.7	67.2
934.9	221.7	842.2	490.3
319.0	90.2	781.3	696.3
478.2	242.5	489.3	238.8
849.4	479.6	944.1	513.8
353.1	67.8	771.6	465.4
355.1	103.6	945.3	491.4
963.1	128.5	940.2	288.9
966.0	525.6	627.1	121.7
